Preliminary Risk Category,Neighborhood,Address,City,State,Zip Code,Year Built,No. Stories,Retrofit Level,Building Use,Estimated Number of Occupants,Confirmation Source,Long/Lat
Medium Risk,Queen Anne,125 Warren Ave N,Seattle,WA,98109,1907,4,No visible retrofit,Residential,11-100,Google Street View,POINT (-122.354152 47.61951)
Medium Risk,Pioneer Square/Chinatown International District,211 1st Ave S,Seattle,WA,98104,1900,3,Permitted Retrofit,Commercial/Residential,11-100,Field Visit,POINT (-122.334269 47.600423000000006)
Medium Risk,Belltown,2119 2nd Ave,Seattle,WA,98121,1909,4,Visible retrofit,Other Mixed Uses,11-100,Google Street View,POINT (-122.34381900000001 47.612912)
Medium Risk,Cascade/Eastlake,401 Cedar St,Seattle,WA,98121,1927,1,No visible retrofit,Commercial,101+,Google Street View,POINT (-122.347786 47.617984)
Medium Risk,Duwamish/SODO,3100 Airport Way S,Seattle,WA,98134,1920,2,No visible retrofit,Office,11-100,Field Visit,POINT (-122.321437 47.575484)
Medium Risk,Capitol Hill,420 Broadway E,Seattle,WA,98102,1930,1,No visible retrofit,Commercial,101+,Field Visit,POINT (-122.32093099999999 47.622739)
Medium Risk,Cascade/Eastlake,117 Yale Ave N,Seattle,WA,98109,1927,2,No visible retrofit,Commercial,11-100,White Card Permit Records,POINT (-122.330424 47.619148)
Medium Risk,Belltown,11 Vine St,Seattle,WA,98121,1911,3,Substantial Alteration,Commercial/Office,101+,Photos from Previous Surveys,POINT (-122.35196100000002 47.613492)
High Risk,Pioneer Square/Chinatown International District,220 2nd Ave S,Seattle,WA,98104,1900,5,Substantial Alteration,Commercial/Office,11-100,Field Visit,POINT (-122.331589 47.600331)
Medium Risk,Capitol Hill,915 E Harrison St,Seattle,WA,98102,1928,5,No visible retrofit,Residential,11-100,Google Street View,POINT (-122.32025500000002 47.621987)
High Risk,Downtown,605 1st Ave,Seattle,WA,98104,1900,6,Visible retrofit,Commercial/Office,101+,Google Street View,POINT (-122.33426200000001 47.60198100000001)
Medium Risk,Pioneer Square/Chinatown International District,95 Yesler Way,Seattle,WA,98104,1900,3,No visible retrofit,Commercial/Office,11-100,Field Visit,POINT (-122.334494 47.601738)
Medium Risk,Duwamish/SODO,85 S Atlantic St,Seattle,WA,98134,1937,2,No visible retrofit,Commercial,11-100,Photos from Previous Surveys,POINT (-122.33552300000001 47.590304)
Medium Risk,North Capitol Hill,1112 Broadway E,Seattle,WA,98102,1922,4,No visible retrofit,Residential,11-100,Google Street View,POINT (-122.32125200000002 47.629106)
Medium Risk,Univ Dist,5003 15th Ave NE,Seattle,WA,98105,1926,4,No visible retrofit,Residential,11-100,Google Street View,POINT (-122.31194700000002 47.665085)
Medium Risk,Greenwood/Phinney Ridge,8417 Greenwood Ave N,Seattle,WA,98103,1945,1,No visible retrofit,Commercial,11-100,Field Visit,POINT (-122.355307 47.690394)
Medium Risk,Univ Dist,4145 University Way NE,Seattle,WA,98105,1927,1,Visible retrofit,Commercial,101+,Google Street View,POINT (-122.31321200000001 47.658155)
Medium Risk,Columbia City,5000 Rainier Ave S,Seattle,WA,98118,1910,1,No visible retrofit,Commercial,101+,Google Street View,POINT (-122.28429500000001 47.556611)
Medium Risk,Pioneer Square/Chinatown International District,413 7th Ave S,Seattle,WA,98104,1915,1,Visible retrofit,Commercial,11-100,Field Visit,POINT (-122.32375400000001 47.598852)
Medium Risk,Queen Anne,621 W McGraw St,Seattle,WA,98119,1926,1,No visible retrofit,Commercial,11-100,Field Visit,POINT (-122.36585 47.639581)
Medium Risk,Georgetown,6285 Airport Way S,Seattle,WA,98108,1905,3,No visible retrofit,Residential,11-100,Google Street View,POINT (-122.313167 47.546644)
High Risk,Duwamish/SODO,3100 Airport Way S,Seattle,WA,98134,1890,4,No visible retrofit,Commercial,11-100,Field Visit,POINT (-122.321437 47.575484)
Medium Risk,Univ Dist,4336 University Way NE,Seattle,WA,98105,1900,3,No visible retrofit,Commercial,11-100,Google Street View,POINT (-122.313146 47.660809)
Medium Risk,Judkins Park,1419 S Jackson St,Seattle,WA,98144,1925,2,Permitted Retrofit,Commercial/Residential,11-100,Google Street View,POINT (-122.31318400000002 47.599219)
Medium Risk,Madison Park,4230 E Madison St,Seattle,WA,98112,1919,1,No visible retrofit,Commercial,11-100,Field Visit,POINT (-122.27739800000002 47.636216)
Medium Risk,Queen Anne,2129 Queen Anne Ave N,Seattle,WA,98109,1910,1,No visible retrofit,Commercial,11-100,Sandborn Insurance Maps,POINT (-122.356935 47.638089)
Medium Risk,Belltown,2030 1st Ave,Seattle,WA,98121,1918,3,Visible retrofit,Commercial/Office,101+,Google Street View,POINT (-122.34364500000001 47.611653)
Medium Risk,Pioneer Square/Chinatown International District,205 3rd Ave S,Seattle,WA,98104,1890,4,Permitted Retrofit,Office,101+,Field Visit,POINT (-122.330282 47.600871)
Medium Risk,Capitol Hill,1412 12th Ave,Seattle,WA,98122,1919,4,Substantial Alteration,Commercial/Residential,101+,Permit Drawing Review,POINT (-122.31683200000002 47.613591)
High Risk,Pioneer Square/Chinatown International District,104 1st Ave S,Seattle,WA,98104,1902,4,Visible retrofit,Commercial/Office,101+,Field Visit,POINT (-122.33410900000001 47.601386)
Medium Risk,Queen Anne,530 Queen Anne Ave N,Seattle,WA,98109,1929,1,Substantial Alteration,Commercial,11-100,Photos from Previous Surveys,POINT (-122.356718 47.624331)
Medium Risk,Downtown,410 4th Ave,Seattle,WA,98104,1909,6,No visible retrofit,Residential,101+,Google Street View,POINT (-122.32925600000002 47.602092)
Medium Risk,Univ Dist,5201 University Way NE,Seattle,WA,98105,1928,1,No visible retrofit,Commercial,101+,Sandborn Insurance Maps,POINT (-122.313066 47.66671)
Medium Risk,Columbia City,4873 Rainier Ave S,Seattle,WA,98118,1908,2,No visible retrofit,Commercial/Office,101+,Field Visit,POINT (-122.285174 47.558067)
Medium Risk,Georgetown,5813 Airport Way S,Seattle,WA,98108,1905,2,No visible retrofit,Commercial,101+,Google Street View,POINT (-122.318205 47.550552)
Medium Risk,Pioneer Square/Chinatown International District,109 Yesler Way,Seattle,WA,98104,1890,3,Permitted Retrofit,Commercial,11-100,Field Visit,POINT (-122.333435 47.601747)
High Risk,Madrona/Leschi,2801 S Jackson St,Seattle,WA,98144,1932,2,No visible retrofit,Public Assembly,101+,Google Street View,POINT (-122.29598700000001 47.599217)
Medium Risk,Miller Park,1000 Turner Way E,Seattle,WA,98112,1910,1,No visible retrofit,Office,11-100,Google Street View,POINT (-122.302143 47.627675)
Medium Risk,Ravenna/Bryant,2725 NE 55th St,Seattle,WA,98105,1926,1,No visible retrofit,Commercial,1-10,Google Street View,POINT (-122.297264 47.668526)
Medium Risk,Downtown,1206 1st Ave,Seattle,WA,98101,1900,2,No visible retrofit,Commercial,11-100,Permit Drawing Review,POINT (-122.337836 47.606433)
Medium Risk,Cascade/Eastlake,2302 4th Ave,Seattle,WA,98121,1918,4,No visible retrofit,Residential,11-100,Google Street View,POINT (-122.34413000000002 47.615478)
Medium Risk,West Seattle Junction/Genesee Hill,4720 California Ave SW,Seattle,WA,98116,1932,2,No visible retrofit,Commercial,11-100,Field Visit,POINT (-122.38679900000001 47.560405)
Medium Risk,First Hill,900 12th Ave,Seattle,WA,98122,1923,2,No visible retrofit,Commercial/Office,11-100,Google Street View,POINT (-122.316798 47.610565)
Medium Risk,Downtown,1400 Western Ave,Seattle,WA,98101,1915,4,Visible retrofit,Commercial/Residential,101+,Google Street View-Rosettes,POINT (-122.34034500000001 47.607511)
Medium Risk,Pioneer Square/Chinatown International District,418 8th Ave S,Seattle,WA,98104,1910,5,Visible retrofit,Commercial/Residential,101+,Field Visit,POINT (-122.322461 47.59853)
Medium Risk,First Hill,1512 5th Ave,Seattle,WA,98101,1904,4,No visible retrofit,Commercial,11-100,Permit Drawing Review,POINT (-122.335792 47.610929)
Medium Risk,Sunset Hill/Loyal Heights,6301 24th Ave NW,Seattle,WA,98107,1928,1,No visible retrofit,Commercial,11-100,Google Street View,POINT (-122.38760399999998 47.674789)
Medium Risk,Duwamish/SODO,3100 Airport Way S,Seattle,WA,98134,1900,2,No visible retrofit,Commercial,11-100,Field Visit,POINT (-122.321437 47.575484)
Critical Risk,Green Lake,7901 Stone Ave N,Seattle,WA,98103,1913,2,Substantial Alteration,Schools,101+,Google Street View,POINT (-122.34180000000002 47.686371)
Medium Risk,Downtown,110 Union St,Seattle,WA,98101,1910,5,Permitted Retrofit,Commercial/Office,101+,Google Street View,POINT (-122.338765 47.607961)
Medium Risk,Queen Anne,15 Nickerson St,Seattle,WA,98109,1919,1,Substantial Alteration,Commercial,11-100,Permit Drawing Review,POINT (-122.356724 47.649326)
Medium Risk,Ravenna/Bryant,7200 12th Ave NE,Seattle,WA,98115,1930,1,No visible retrofit,Government,1-10,Photos from Previous Surveys,POINT (-122.315327 47.68158)
Medium Risk,Madison Park,4130 E Madison St,Seattle,WA,98112,1928,1,Visible retrofit,Commercial/Office,11-100,Field Visit,POINT (-122.27862699999999 47.635406)
Medium Risk,Pioneer Square/Chinatown International District,320 2nd Ave S,Seattle,WA,98104,1900,1,Visible retrofit,Commercial,11-100,Field Visit,POINT (-122.33158699999998 47.599899)
Medium Risk,Belltown,2209 1st Ave,Seattle,WA,98121,1910,4,Visible retrofit,Commercial/Residential,101+,Google Street View,POINT (-122.345318 47.612654)
Medium Risk,Ballard,2244 NW Market St,Seattle,WA,98107,1913,2,No visible retrofit,Commercial/Office,101+,Field Visit,POINT (-122.386802 47.668702)
Medium Risk,Ballard,5300 Ballard Ave NW,Seattle,WA,98107,1902,2,No visible retrofit,Residential,11-100,Field Visit,POINT (-122.38326100000002 47.666515)
Medium Risk,Capitol Hill,325 Harvard Ave E,Seattle,WA,98102,1928,5,No visible retrofit,Residential,11-100,Google Street View,POINT (-122.32203899999999 47.621832)
Medium Risk,Capitol Hill,1101 E Pike St,Seattle,WA,98122,1911,3,Permitted Retrofit,Commercial/Office,101+,Photos from Previous Surveys,POINT (-122.317877 47.614098)
Medium Risk,Pioneer Square/Chinatown International District,301 Occidental Ave S,Seattle,WA,98104,1902,4,Permitted Retrofit,Commercial/Office,101+,Permit Drawing Review,POINT (-122.33289 47.60003)
Medium Risk,Ballard,4711 Ballard Ave NW,Seattle,WA,98107,1900,2,No visible retrofit,Commercial,11-100,Field Visit,POINT (-122.379236 47.663044)
Medium Risk,Queen Anne,201 Galer St,Seattle,WA,98109,1908,4,Permitted Retrofit,Residential,101+,Permit Drawing Review,POINT (-122.35199 47.63232)
Medium Risk,Ballard,5814 22nd Ave NW,Seattle,WA,98107,1928,4,No visible retrofit,Residential,11-100,Field Visit,POINT (-122.38476600000001 47.671413)
Medium Risk,Roxhill/Westwood,9229 16th Ave SW,Seattle,WA,98106,0,1,No visible retrofit,Commercial,1-10,Google Street View,POINT (-122.35514400000001 47.520254)
Medium Risk,Capitol Hill,516 Bellevue Ave E,Seattle,WA,98102,1928,4,No visible retrofit,Residential,11-100,Field Visit,POINT (-122.326601 47.623623)
Medium Risk,Capitol Hill,1201 Pine St,Seattle,WA,98101,1912,1,No visible retrofit,Commercial,11-100,Field Visit,POINT (-122.328417 47.615046)
Medium Risk,Interbay,904 Elliott Ave W,Seattle,WA,98119,1931,2,No visible retrofit,Commercial,11-100,Permit Drawing Review,POINT (-122.368726 47.626952)
High Risk,Downtown,1015 1st Ave,Seattle,WA,98104,1901,4,Visible retrofit,Commercial/Residential,101+,Google Street View-Rosettes,POINT (-122.336347 47.604766)
Medium Risk,Pioneer Square/Chinatown International District,650 S Jackson St,Seattle,WA,98104,1917,2,No visible retrofit,Commercial,11-100,Field Visit,POINT (-122.32468199999998 47.599191)
Medium Risk,West Seattle Junction/Genesee Hill,4415 Fauntleroy Way SW,Seattle,WA,98126,1924,1,No visible retrofit,Commercial,101+,Field Visit,POINT (-122.37767099999999 47.564118)
High Risk,Duwamish/SODO,2200 1st Ave S,Seattle,WA,98134,1900,4,Permitted Retrofit,Office,101+,Google Street View,POINT (-122.33421700000001 47.583513)
Critical Risk,Central Area/Squire Park,1424 15th Ave,Seattle,WA,98122,1924,2,Permitted Retrofit,Schools,101+,Photos from Previous Surveys,POINT (-122.31279000000002 47.613173)
High Risk,Fremont,619 N 36th St,Seattle,WA,98103,1909,3,Permitted Retrofit,Public Assembly,101+,Photos from Previous Surveys,POINT (-122.35097400000001 47.651487)
Medium Risk,Belltown,2001 3rd Ave,Seattle,WA,98101,1919,2,No visible retrofit,Commercial/Office,101+,Google Street View,POINT (-122.341185 47.612555)
Medium Risk,Belltown,2218 1st Ave,Seattle,WA,98121,1920,1,Permitted Retrofit,Commercial,101+,Google Street View,POINT (-122.345964 47.613039)
Medium Risk,Capitol Hill,1423 10th Ave,Seattle,WA,98122,1907,2,No visible retrofit,Commercial,101+,Photos from Previous Surveys,POINT (-122.31943800000002 47.613578)
Medium Risk,Capitol Hill,1520 13th Ave,Seattle,WA,98122,1920,2,No visible retrofit,Commercial,11-100,Google Street View,POINT (-122.315547 47.614857)
Medium Risk,Cascade/Eastlake,2027 5th Ave,Seattle,WA,98121,1920,1,Permitted Retrofit,Office,11-100,Google Street View,POINT (-122.33955899999998 47.613913)
Medium Risk,Duwamish/SODO,553 1st Ave S,Seattle,WA,98104,1910,3,No visible retrofit,Commercial/Office,11-100,Google Street View,POINT (-122.33426499999999 47.596818)
Medium Risk,Pioneer Square/Chinatown International District,213 1st Ave S,Seattle,WA,98104,1900,3,Visible retrofit,Commercial/Residential,11-100,Field Visit,POINT (-122.334269 47.600341)
Medium Risk,Cascade/Eastlake,2602 4th Ave,Seattle,WA,98121,1923,4,Permitted Retrofit,Residential,11-100,Google Street View,POINT (-122.34728700000001 47.617351)
Medium Risk,Belltown,2408 2nd Ave,Seattle,WA,98121,1923,3,Visible retrofit,Residential,101+,Google Street View,POINT (-122.347282 47.614991)
Medium Risk,Downtown,1513 3rd Ave,Seattle,WA,98101,1920,1,No visible retrofit,Commercial,11-100,Permit Drawing Review,POINT (-122.338211 47.610161)
Medium Risk,Queen Anne,1530 Westlake Ave N,Seattle,WA,98109,1923,2,Visible retrofit,Other Mixed Uses,11-100,Google Street View,POINT (-122.34058400000002 47.633359)
Medium Risk,Cascade/Eastlake,2035 4th Ave,Seattle,WA,98121,1926,2,Substantial Alteration,Commercial,11-100,Permit Drawing Review,POINT (-122.341142 47.613705)
Medium Risk,Belltown,1902 Post Al,Seattle,WA,98101,1925,2,Visible retrofit,Commercial,101+,Google Street View,POINT (-122.341763 47.609974)
Medium Risk,Queen Anne,823 5th Ave N,Seattle,WA,98109,1900,1,No visible retrofit,Commercial,11-100,Google Street View,POINT (-122.34755999999999 47.627014)
High Risk,Seward Park,5900 Lake Washington Blvd S,Seattle,WA,98118,1927,1,No visible retrofit,Public Assembly,101+,Permit Drawing Review,POINT (-122.25749499999999 47.549123)
Medium Risk,Queen Anne,421 W Roy St,Seattle,WA,98119,1930,5,No visible retrofit,Residential,11-100,Google Street View,POINT (-122.36298300000001 47.625841)
High Risk,Cascade/Eastlake,1027 Bellevue Court E,Seattle,WA,98102,1910,4,Permitted Retrofit,Residential,11-100,Photos from Previous Surveys,POINT (-122.32710700000001 47.627568)
High Risk,Greenwood/Phinney Ridge,6615 Dayton Ave N,Seattle,WA,98103,1917,3,Permitted Retrofit,Public Assembly,101+,Google Street View,POINT (-122.352635 47.676994)
Medium Risk,Duwamish/SODO,4000 Airport Way S,Seattle,WA,98108,1926,1,No visible retrofit,Office,1-10,Sandborn Insurance Maps,POINT (-122.32267900000001 47.567867)
Medium Risk,Capitol Hill,1420 Broadway,Seattle,WA,98122,1904,2,Visible retrofit,Commercial,11-100,Google Street View-Rosettes,POINT (-122.32078399999999 47.613564)
Medium Risk,Univ Dist,4209 University Way NE,Seattle,WA,98105,1923,2,No visible retrofit,Commercial,101+,Google Street View,POINT (-122.313198 47.658674)
High Risk,North Delridge,5200 35th Ave SW,Seattle,WA,98126,1925,2,Permitted Retrofit,Public Assembly,101+,Permit Drawing Review,POINT (-122.376282 47.55521)
Medium Risk,Fauntleroy/Seaview,8603 Fauntleroy Way SW,Seattle,WA,98136,1940,1,No visible retrofit,Government,11-100,Field Visit,POINT (-122.392715 47.529177)
High Risk,Green Lake,2253 N 56th St,Seattle,WA,98103,1928,1,No visible retrofit,Public Assembly,101+,Google Street View,POINT (-122.331522 47.669071)
Critical Risk,Mt. Baker/North Rainier,3201 Hunter Blvd S,Seattle,WA,98144,1924,2,No visible retrofit,Schools,101+,Google Street View,POINT (-122.28509100000001 47.575008)
Medium Risk,Greenwood/Phinney Ridge,7700 6th Ave NW,Seattle,WA,98117,1928,1,No visible retrofit,Commercial,11-100,Google Street View,POINT (-122.36333100000002 47.684921)
High Risk,Duwamish/SODO,1000 1st Ave S,Seattle,WA,98134,1910,6,Substantial Alteration,Commercial/Office,101+,Google Street View,POINT (-122.334227 47.59383600000001)
Medium Risk,Univ Dist,4503 17th Ave NE,Seattle,WA,98105,1929,3,Permitted Retrofit,Residential,11-100,Google Street View,POINT (-122.309684 47.661569)
Medium Risk,Capitol Hill,1510 Melrose Ave,Seattle,WA,98122,1930,2,Substantial Alteration,Commercial/Residential,11-100,Google Street View,POINT (-122.327915 47.614387)
Medium Risk,First Hill,510 Broadway,Seattle,WA,98122,1908,3,No visible retrofit,Commercial/Residential,11-100,Google Street View,POINT (-122.32075600000002 47.606752)
Medium Risk,Duwamish/SODO,1534 1st Ave S,Seattle,WA,98134,1928,2,No visible retrofit,Commercial/Office,101+,Google Street View,POINT (-122.33421999999999 47.589023)
Medium Risk,Downtown,121 Stewart St,Seattle,WA,98101,1914,2,Permitted Retrofit,Commercial/Office,101+,Google Street View,POINT (-122.340478 47.610965)
Medium Risk,Univ Dist,4509 University Way NE,Seattle,WA,98105,1916,3,Visible retrofit,Commercial/Residential,11-100,Field Visit,POINT (-122.313127 47.661659)
Medium Risk,Central Area/Squire Park,722 18th Ave,Seattle,WA,98122,1908,2,No visible retrofit,Government,101+,Google Street View,POINT (-122.308904 47.608773)
Medium Risk,Laurelhurst/Sand Point,6305 NE 74th St,Seattle,WA,98115,1936,2,Permitted Retrofit,Government,1-10,Previous Seismic Reports,POINT (-122.25787300000002 47.68330100000001)
Medium Risk,Capitol Hill,1525 Boylston Ave,Seattle,WA,98122,1919,1,Substantial Alteration,Residential,11-100,Permit Drawing Review,POINT (-122.3234 47.614805)
Medium Risk,Pioneer Square/Chinatown International District,68 S Washington St,Seattle,WA,98104,1900,3,Permitted Retrofit,Commercial/Residential,11-100,Field Visit,POINT (-122.33518900000001 47.60087)
Medium Risk,Belltown,2111 3rd Ave,Seattle,WA,98121,1923,2,Permitted Retrofit,Commercial/Office,101+,Google Street View,POINT (-122.342328 47.613243)
Critical Risk,South Park,723 S Concord St,Seattle,WA,98108,1909,3,Permitted Retrofit,Schools,101+,Permit Drawing Review,POINT (-122.32430000000001 47.523918)
Medium Risk,Queen Anne,1305 Queen Anne Ave N,Seattle,WA,98109,1928,3,Permitted Retrofit,Residential,11-100,Google Street View,POINT (-122.35662499999998 47.630683)
